"METER_ID";"METER_OBJECT_ID";"CAP_TIME";"ACQ_TIME";"FLAGS";"SCALE";"UNIT";"REASON";"VALUE";"USER_ID";"DATA";"DEP_TIME";"EXPRESSION"
12293915188;198;1636538400000;1638323919533;2;0;30;"h";0;934;"";;""
12293915188;198;1636542000000;1638323919533;2;0;30;"h";0;934;"";;""
12293915188;198;1636545600000;1638323919533;2;0;30;"h";0;934;"";;""
12293915188;198;1636549200000;1638323919533;2;0;30;"h";0;934;"";;""
12293915188;198;1636552800000;1638323919533;2;0;30;"h";0;934;"";;""
12293915188;198;1636556400000;1638323919533;2;0;30;"h";0;934;"";;""
12293915188;198;1636560000000;1638323919533;2;0;30;"h";0;934;"";;""
12293915188;198;1636563600000;1638323919533;2;0;30;"h";0;934;"";;""
12293915188;198;1636567200000;1638323919533;2;0;30;"h";0;934;"";;""
12293915188;198;1636570800000;1638323919533;2;0;30;"h";0;934;"";;""
12293915188;198;1636574400000;1638323919533;2;0;30;"h";0;934;"";;""
12293915188;198;1636578000000;1638323919533;2;0;30;"h";0;934;"";;""
12293915188;198;1636581600000;1638323919533;2;0;30;"h";0;934;"";;""
